! Anritsu VNA Master:             ,Model: MS2038C/11/15
! SN:             ,1223098
! /bd0/open.csv
! Existing Calibration Information:
! TYPE:             ,Current Settings,Active Cal Settings
! TIME:             ,04/24/2024 10:42:42 AM,04/24/2024 10:22:44 AM
! INTERNAL TEMP:    ,49.5 C,42.8 C
! # POINTS:         ,196,196
! START FREQ:       ,10.000 MHz,10.000 MHz
! STOP FREQ:        ,2.000 GHz,2.000 GHz
! SOURCE POWER:     ,High,High
! IFBW:             ,1 kHz,1 kHz
! AVG FACTOR:       ,  1 ,  1 
! REF PLANE 1:      ,0 mm,0 mm
! REF PLANE 2:      ,0 mm,0 mm
! CAL TYPE:         ,Full S11,Full S11
! CAL METHOD:       ,SOLT,SOLT
! CAL LINE TYPE:    ,Coax,Coax
! DUT PORT 1:       ,K-Conn(M),K-Conn(M)
! DUT PORT 2:       ,K-Conn(M),K-Conn(M)
! CAL STATUS:       ,?T: Accuracy moderate (|Temp diff| > 5.0 C),--
! PROP-V:       ,1.000
! CABLE LOSS:       ,0.000 dB/m
! REF IMPEDANCE:       ,50.0
! Trace Specific Parameters:,TR1
! TRACE.#.Y (GRAPH TYPE),POLAR.LINEAR.PHASE
! TRACE.#.X ,FREQ.GHZ
! S-PARAMETER,S11
! SMOOTH/APERTURE %,0
! WINDOW,NSL
! GATING,OFF
! FGTD,OFF
Marker Information per Trace:,TR1
!MK1,--
!MK2,--
!MK3,--
!MK4,--
!MK5,--
!MK6,--
!MK7,--
!MK8,--
PNT,TR1.FREQ.GHZ,TR1.POLAR.LINEAR,TR1.POLAR.PHASE.deg
1,  0.010000000,9.160006E-01,-7.807821E+01
2,  0.020205127,8.272475E-01,1.255670E+02
3,  0.030410256,6.950352E-01,2.706021E+01
4,  0.040615384,7.289184E-01,-3.463393E+01
5,  0.050820515,6.606547E-01,-1.498302E+02
6,  0.061025642,7.610793E-01,5.000426E+01
7,  0.071230769,6.889469E-01,-2.822450E+01
8,  0.081435896,4.878219E-01,-8.383965E+01
9,  0.091641031,5.771991E-01,1.014374E+02
10,  0.101846159,7.425230E-01,4.176677E+00
11,  0.112051286,5.366466E-01,-5.046598E+01
12,  0.122256406,3.562176E-01,-1.573499E+02
13,  0.132461533,6.958908E-01,3.337126E+01
14,  0.142666668,7.726134E-01,-2.602373E+01
15,  0.152871802,5.905286E-01,-8.991875E+01
16,  0.163076922,4.103144E-01,8.061903E+01
17,  0.173282057,7.366998E-01,-7.895574E+00
18,  0.183487192,7.201136E-01,-5.645613E+01
19,  0.193692297,3.196181E-01,-1.477843E+02
20,  0.203897446,6.008113E-01,1.189505E+01
21,  0.214102551,7.603452E-01,-4.153160E+01
22,  0.224307686,6.276592E-01,-8.867353E+01
23,  0.234512821,1.454218E-01,6.442180E+01
24,  0.244717941,6.302319E-01,-3.162332E+01
25,  0.254923075,6.642815E-01,-6.832905E+01
26,  0.265128195,4.791589E-01,-1.101495E+02
27,  0.275333345,3.009975E-01,1.316569E+00
28,  0.285538465,6.675545E-01,-5.589182E+01
29,  0.295743585,6.429446E-01,-9.145965E+01
30,  0.305948734,2.940283E-01,-1.387130E+02
31,  0.316153854,4.646096E-01,-3.501503E+01
32,  0.326358974,6.585419E-01,-7.681891E+01
33,  0.336564094,5.836976E-01,-1.074144E+02
34,  0.346769243,1.265892E-01,-1.244484E+02
35,  0.356974363,5.983567E-01,-6.112398E+01
36,  0.367179513,7.417131E-01,-9.534915E+01
37,  0.377384603,6.408963E-01,-1.266234E+02
38,  0.387589723,1.451693E-01,-1.213389E+02
39,  0.397794873,6.137301E-01,-8.313659E+01
40,  0.407999992,7.363999E-01,-1.134173E+02
41,  0.418205142,6.113387E-01,-1.417594E+02
42,  0.428410232,2.286043E-01,-1.079672E+02
43,  0.438615382,6.562192E-01,-1.065024E+02
44,  0.448820502,7.447965E-01,-1.317913E+02
45,  0.459025651,6.109538E-01,-1.566072E+02
46,  0.469230771,3.172195E-01,-1.245548E+02
47,  0.479435891,6.816991E-01,-1.290417E+02
48,  0.489641011,7.344534E-01,-1.520764E+02
49,  0.499846160,5.713676E-01,-1.739794E+02
50,  0.510051310,3.875121E-01,-1.365932E+02
51,  0.520256400,7.090412E-01,-1.484628E+02
52,  0.530461550,7.469153E-01,-1.703141E+02
53,  0.540666640,5.753696E-01,1.689441E+02
54,  0.550871849,3.751723E-01,-1.570450E+02
55,  0.561076880,6.823341E-01,-1.642921E+02
56,  0.571282029,7.175548E-01,1.747382E+02
57,  0.581487179,5.242258E-01,1.572360E+02
58,  0.591692328,4.595429E-01,-1.684112E+02
59,  0.601897418,7.120559E-01,1.792029E+02
60,  0.612102568,7.302764E-01,1.603541E+02
61,  0.622307718,5.428449E-01,1.468565E+02
62,  0.632512867,5.314500E-01,1.729588E+02
63,  0.642717957,7.361292E-01,1.614259E+02
64,  0.652923107,7.491328E-01,1.455141E+02
65,  0.663128197,6.053821E-01,1.342287E+02
66,  0.673333287,5.734235E-01,1.506247E+02
67,  0.683538437,7.414177E-01,1.425237E+02
68,  0.693743587,7.506218E-01,1.283605E+02
69,  0.703948736,6.176348E-01,1.195909E+02
70,  0.714153826,6.117755E-01,1.317281E+02
71,  0.724358976,7.448356E-01,1.236469E+02
72,  0.734564126,7.316616E-01,1.106768E+02
73,  0.744769275,5.973728E-01,1.046301E+02
74,  0.754974306,6.241862E-01,1.173904E+02
75,  0.765179455,7.541674E-01,1.081947E+02
76,  0.775384605,7.414639E-01,9.564746E+01
77,  0.785589755,6.092843E-01,8.993535E+01
78,  0.795794845,6.459073E-01,1.005216E+02
79,  0.805999994,7.574187E-01,9.136753E+01
80,  0.816205144,7.352970E-01,7.924505E+01
81,  0.826410294,6.009125E-01,7.521820E+01
82,  0.836615384,6.517260E-01,8.387782E+01
83,  0.846820533,7.300617E-01,7.436268E+01
84,  0.857025623,6.586633E-01,6.582101E+01
85,  0.867230773,6.420609E-01,7.176121E+01
86,  0.877435863,7.274881E-01,6.437478E+01
87,  0.887641013,6.552719E-01,5.595046E+01
88,  0.897846162,6.680681E-01,6.196638E+01
89,  0.908051312,7.468612E-01,5.336819E+01
90,  0.918256402,6.771651E-01,4.415518E+01
91,  0.928461552,6.414792E-01,4.957190E+01
92,  0.938666701,7.288735E-01,4.482580E+01
93,  0.948871851,7.268382E-01,3.617365E+01
94,  0.959076881,6.595293E-01,3.378962E+01
95,  0.969282031,7.087912E-01,3.423385E+01
96,  0.979487181,7.472918E-01,2.625011E+01
97,  0.989692330,7.105789E-01,1.769607E+01
98,  0.999897420,6.238939E-01,1.647372E+01
99,  1.010102630,6.578808E-01,1.808433E+01
100,  1.020307660,6.692618E-01,1.284215E+01
101,  1.030512810,6.600217E-01,9.041914E+00
102,  1.040717959,6.447381E-01,7.724913E+00
103,  1.050923109,6.933533E-01,5.806411E+00
104,  1.061128139,7.181372E-01,-2.303319E+00
105,  1.071333289,6.639623E-01,-1.058685E+01
106,  1.081538439,5.980178E-01,-9.339238E+00
107,  1.091743588,6.436458E-01,-9.395662E+00
108,  1.101948738,6.613422E-01,-1.651461E+01
109,  1.112153769,6.013690E-01,-2.302488E+01
110,  1.122358918,5.496654E-01,-1.873953E+01
111,  1.132564068,6.207148E-01,-1.815522E+01
112,  1.142769217,6.564120E-01,-2.514959E+01
113,  1.152974367,6.256850E-01,-3.147181E+01
114,  1.163179517,5.965296E-01,-3.086502E+01
115,  1.173384547,6.438289E-01,-3.225100E+01
116,  1.183589697,6.726314E-01,-3.858419E+01
117,  1.193794847,6.556792E-01,-4.443319E+01
118,  1.203999996,6.397062E-01,-4.628696E+01
119,  1.214205146,6.691058E-01,-4.955712E+01
120,  1.224410295,6.820781E-01,-5.591801E+01
121,  1.234615445,6.645380E-01,-6.173482E+01
122,  1.244820595,6.419684E-01,-6.451033E+01
123,  1.255025625,6.585032E-01,-6.754993E+01
124,  1.265230775,6.671136E-01,-7.396117E+01
125,  1.275435925,6.387399E-01,-7.999845E+01
126,  1.285641074,6.101852E-01,-8.214231E+01
127,  1.295846224,6.263881E-01,-8.460761E+01
128,  1.306051373,6.324577E-01,-9.089240E+01
129,  1.316256404,6.018355E-01,-9.717704E+01
130,  1.326461434,5.587217E-01,-9.892621E+01
131,  1.336666584,5.730772E-01,-9.952889E+01
132,  1.346871734,5.838899E-01,-1.051149E+02
133,  1.357076883,5.511779E-01,-1.099427E+02
134,  1.367282033,5.281706E-01,-1.094204E+02
135,  1.377487183,5.694045E-01,-1.104097E+02
136,  1.387692332,5.959387E-01,-1.175882E+02
137,  1.397897482,5.685920E-01,-1.236545E+02
138,  1.408102512,5.522618E-01,-1.245821E+02
139,  1.418307662,5.860617E-01,-1.276944E+02
140,  1.428512812,5.995629E-01,-1.348452E+02
141,  1.438717961,5.718383E-01,-1.407370E+02
142,  1.448923111,5.558809E-01,-1.426119E+02
143,  1.459128261,5.729684E-01,-1.456954E+02
144,  1.469333410,5.822172E-01,-1.516283E+02
145,  1.479538560,5.694912E-01,-1.570020E+02
146,  1.489743590,5.600837E-01,-1.605242E+02
147,  1.499948740,5.618004E-01,-1.646793E+02
148,  1.510153770,5.559236E-01,-1.701924E+02
149,  1.520358920,5.322356E-01,-1.742289E+02
150,  1.530564070,5.251285E-01,-1.757715E+02
151,  1.540769219,5.395901E-01,-1.790763E+02
152,  1.550974369,5.399821E-01,1.757411E+02
153,  1.561179519,5.271083E-01,1.717839E+02
154,  1.571384549,5.265000E-01,1.691356E+02
155,  1.581589699,5.344599E-01,1.650184E+02
156,  1.591794848,5.238522E-01,1.605243E+02
157,  1.601999998,5.082276E-01,1.587490E+02
158,  1.612205148,5.257838E-01,1.575017E+02
159,  1.622410297,5.503806E-01,1.536822E+02
160,  1.632615447,5.650153E-01,1.490813E+02
161,  1.642820597,5.781274E-01,1.442747E+02
162,  1.653025627,5.843429E-01,1.386711E+02
163,  1.663230777,5.772794E-01,1.328977E+02
164,  1.673435926,5.570200E-01,1.290722E+02
165,  1.683641076,5.623068E-01,1.273180E+02
166,  1.693846226,5.820111E-01,1.224828E+02
167,  1.704051375,5.645415E-01,1.165705E+02
168,  1.714256406,5.478968E-01,1.150060E+02
169,  1.724461436,5.686342E-01,1.123755E+02
170,  1.734666586,5.716397E-01,1.070390E+02
171,  1.744871736,5.563422E-01,1.039503E+02
172,  1.755076885,5.650972E-01,1.021331E+02
173,  1.765282035,5.844700E-01,9.747799E+01
174,  1.775487185,5.745627E-01,9.238029E+01
175,  1.785692334,5.582788E-01,9.040373E+01
176,  1.795897484,5.765370E-01,8.902812E+01
177,  1.806102514,5.987542E-01,8.412479E+01
178,  1.816307664,5.914513E-01,7.888701E+01
179,  1.826512814,5.754264E-01,7.614611E+01
180,  1.836717963,5.830751E-01,7.463813E+01
181,  1.846923113,5.997067E-01,7.103561E+01
182,  1.857128263,6.006305E-01,6.695844E+01
183,  1.867333412,6.024404E-01,6.423621E+01
184,  1.877538562,6.193449E-01,6.101749E+01
185,  1.887743592,6.286996E-01,5.639979E+01
186,  1.897948742,6.233298E-01,5.215605E+01
187,  1.908153892,6.230639E-01,4.901117E+01
188,  1.918358922,6.329635E-01,4.526486E+01
189,  1.928564072,6.303564E-01,4.047422E+01
190,  1.938769221,6.138979E-01,3.669944E+01
191,  1.948974371,6.038425E-01,3.475921E+01
192,  1.959179401,6.128249E-01,3.233646E+01
193,  1.969384551,6.183546E-01,2.835394E+01
194,  1.979589701,6.074879E-01,2.486464E+01
195,  1.989794850,6.025529E-01,2.315668E+01
196,  2.000000000,6.208093E-01,2.078582E+01
